SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,,,,,,,,,,,,,,,,,
-2.25,,,,,,,,,,,,,,,,,,,,,,,,
7.75,1987624.106512472,1429173.1026912928,1258323.1349974796,1708387.3301171362,1665281.7225341331,785990.842783168,951097.5411156416,2639543.8730966486,2203229.6129430793,2038972.67771093,2547498.2717940602,1405229.991892159,985417.2172819227,1184951.2335866354,1028455.8273666762,1552988.1490831375,1637747.1873844266,1117180.117049262,1897345.1807036437,1429857.9503490739,1214969.9982950315,1195568.7731042057,1214985.3324068412,973410.7021691762
8.0,1779502.0962199792,1372180.4301415384,1205066.1417641342,1679686.6217186302,1886079.4358821418,846737.3238944113,989005.14884758,3193977.2752965502,2597582.283500932,2153470.840576615,2239080.4486617576,1445300.6764707714,856066.9989357144,1210311.5202736445,1017668.3485186547,1362958.429299742,1598582.0740149915,882647.8367171511,2297218.5879437886,1308814.224385567,1187407.20973403,1282983.2141167447,1225223.286098577,905958.0188791156
8.25,1715691.7581095546,1431402.6601844504,1196449.5666734427,1669796.617302075,2166036.5701861773,780286.8371819779,1371417.7644657642,3459565.260925118,3231722.5134372115,2637479.8076821696,2154992.1225066725,1473627.5309422389,1024007.8951874748,1102294.8629921041,984696.0648099184,1470878.0845993161,1685806.06570293,1037643.2896046638,2792195.65675639,1422163.371344909,1220231.900591381,1344805.2241714895,1223613.7725092098,832552.6349299736
8.5,1718466.6317895055,1359478.3359204307,1179164.6553397551,1789912.2127821594,2188133.548370516,773631.611896038,1732021.5564184487,2307810.3935192414,2479565.277189821,2750003.5738601945,1926054.674228076,1346731.051578641,970523.5731243789,1120706.6383886188,1505796.0876386464,1252519.392447576,1590962.1840055287,1391236.6187337786,2334170.8119582124,1248396.0088718683,1170443.808744587,1358484.2506591529,1309396.8881576061,1014702.2953910157
8.75,1531327.8243294358,1087978.1894779578,1111836.091466993,1814865.634060368,2084944.2286080942,907312.4931550026,1411062.1680044904,2038165.9268661812,1962323.0616352484,3145101.2003961354,1758056.7065240182,1458914.7235557288,1035982.5775314867,1050472.3995774388,1263939.3732833154,1145707.849817127,1477137.0314508379,1315396.5819407105,2156529.703721609,1276762.7841632962,1051867.922498688,1353484.0941250771,1413018.573634684,820198.2176040262
9.0,1430427.0202515125,1456304.3593495637,1089998.4243259951,1500337.4829135463,1823762.5880666971,858909.3670841381,1410139.3900708258,1872261.9463414177,2027616.9851538315,3611545.667513974,1661668.3318911083,1316350.319411911,1032651.0958439112,1198092.6554611996,1598285.5749396086,1074840.0965994224,1401240.6316646487,1327395.0592986494,1895054.3367702141,1351868.7421976998,1076510.2126465365,1471309.7449056655,1413370.7708005384,871931.8215322793
9.25,1519260.0850839019,1366426.319180131,1027786.1238470823,1556164.4860972837,1771816.3009573296,854932.1961304098,1337601.3170615956,1498828.6484690532,1898247.4120180383,2444791.1750201434,1822251.200889811,1271132.193290718,1122303.3201768622,1268876.8730452918,1505016.360085763,1074040.5149949268,1376338.0126659572,744168.9014628083,1667027.672056593,1235781.9329260364,1063654.7411888093,1255318.6998568773,1385529.3443679288,1159498.137371175
9.5,1323431.5633809045,1124682.6027140692,1014528.9163481295,1491333.9987525344,1678185.3653256632,838943.2791666836,1237719.2837652862,1530398.1283484846,1701733.2862203568,2048319.039804671,1961913.0117335767,1311019.0887025148,1125440.1883298159,1367843.5805096626,1255844.115740247,1161970.5269354507,1582004.1261878535,855930.3527575508,1712792.2291707322,1394044.730191514,1041786.9324457496,1413661.5589842945,1674939.677929841,1256454.3666796237
9.75,1354467.2109831497,1230563.478435509,1048825.6860711128,1447043.3103283048,1667657.1598685011,1067158.1493489742,1271183.057185851,1384078.5404615477,1943161.964206025,1879877.057169512,1665289.3209243566,1378387.056074433,926135.439190045,1363505.9271003753,1368312.3078241572,921571.3472078145,1328370.587594755,959164.2378856838,1660765.6445949376,1254588.5877728164,1116068.3225030676,1322489.2465519682,1403151.235526897,1505634.8507671207
10.0,1444594.1937029213,1472419.3426979035,1141597.618867986,1268317.1319099665,1614039.9430914894,1458998.2009953558,1207641.7498523146,1364278.7779436857,1863695.702902183,1671873.6054781266,1725797.0822840743,1157288.2708191127,1224911.2659599558,1488619.2242369428,1176407.2124207914,1112680.0139789805,1349868.0759066865,946278.7449717447,1775799.7189355046,1451931.1035587713,985349.0850908384,1318308.472991407,1199834.3105217963,1631342.2850734293
